8296,0,0,-1
9428,0,0,-1
10547,0,0,-2
11478,0,0,-2
12502,0,0,-3
13515,0,0,-42
14540,0,0,-48
15681,0,0,-49
16587,0,0,-50
17511,0,0,-50
18647,0,0,-51
19563,0,0,-51
20590,0,0,-51
21723,0,0,-52
22734,0,0,-52
23757,0,0,-53
24677,0,0,-53
25817,0,0,-53
26914,0,0,-54
27757,0,0,-54
28890,0,0,-55
29800,0,0,-55
30889,0,0,-56
31910,0,0,0
34897,0,0,-47
35843,0,0,-49
36875,0,0,-52
37951,0,0,-53
40249,0,0,-22
41203,0,0,-22
42401,0,0,-20
44651,0,0,-51
45761,0,0,-53
47007,0,0,-56
47717,0,0,-57
50996,0,0,-114
51926,0,0,-116
52983,0,0,-119
54581,0,0,-108
55710,0,0,-107
56631,0,0,-106
57758,0,0,-107
59399,0,0,-98
60337,0,0,-98
61473,0,0,-96
62680,0,0,-97
64826,0,0,-125
65639,0,0,-127
66870,0,0,-130
67789,0,0,-131
71127,0,0,165
72195,0,0,163
73529,0,0,160
75428,0,0,135
76604,0,0,133
77518,0,0,130
79253,0,0,141
80292,0,0,141
81306,0,0,142
82744,0,0,141
83359,0,0,140
84383,0,0,139
85507,0,0,138
87456,0,0,158
88586,0,0,158
89505,0,0,160
90624,0,0,158
92992,0,0,-176
93901,0,0,-177
94972,0,0,-176
95949,0,0,-176
97084,0,0,-178
97997,0,0,-178
100990,0,0,133
102231,0,0,131
103142,0,0,128
104156,0,0,127
104993,0,0,126
108768,0,0,-170
109772,0,0,-169
110698,0,0,-168
111923,0,0,-169
112844,0,0,-170
113977,0,0,-171
116540,0,0,-130
117869,0,0,-130
118799,0,0,-128
119811,0,0,-130
120734,0,0,-130
121873,0,0,-132
123604,0,0,-147
124531,0,0,-149
125753,0,0,-151
126569,0,0,-152
129847,0,0,152
130671,0,0,151
131686,0,0,147
132933,0,0,146
133736,0,0,145
134871,0,0,144
136603,0,0,156
137736,0,0,157
138652,0,0,158
139683,0,0,157
140713,0,0,156
143056,0,0,124
144005,0,0,122
145027,0,0,118
146047,0,0,117
147141,0,0,116
151122,0,0,-168
152178,0,0,-168
153205,0,0,-167
154434,0,0,-169
155343,0,0,-169
156370,0,0,-170
157392,0,0,-171
158419,0,0,-172
159540,0,0,-174
160370,0,0,-174
161451,0,0,-176
162540,0,0,-177
163643,0,0,-178
164456,0,0,-179
165467,0,0,-180
166620,0,0,-116
167534,0,0,-118
168758,0,0,-116
169580,0,0,-120
208729,0,0,-1
209703,0,0,-1
210750,0,0,-2
211872,0,0,-2
212795,0,0,-2
213813,0,0,-3
214844,0,0,-3
215759,0,0,-4
216988,0,0,-4
217913,0,0,-5
218935,0,0,-5
219959,0,0,-5
220995,0,0,-6
222008,0,0,-6
223141,0,0,-7
224169,0,0,-7
225194,0,0,-7
226108,0,0,-8
227090,0,0,-8
228159,0,0,-9
229183,0,0,-9
229893,656,482,-9
